date,description,cheque_number,debit,credit,balance,transaction_type,counterparty
2023-04-01,Opening Balance - FY 2023-24,,,,1250000,Opening Balance,
2023-04-07,NEFT-IN/INFRABUILD/INV-RSF-001/Apr,,, 280000,1530000,NEFT Credit,Infra Build Gujarat Pvt Ltd
2023-04-15,SAL/APR23/RAMESH STEEL - Salary Disbursement,, 280000,,1250000,Salary,Staff Accounts
2023-04-22,LIC/HDFC/WCTL/EMI-APR23 - Loan EMI Payment,, 45000,,1205000,Loan Repayment,HDFC Bank Ltd
2023-04-27,ELEC/MSEDCL/APR23 - Electricity Bill Bhiwandi Factory,, 18500,,1186500,Utility,MSEDCL
2023-05-03,NEFT-IN/INFRABLD/INV-RSF-004/May,,, 150000,1336500,NEFT Credit,Infra Build Gujarat Pvt Ltd
2023-05-15,SAL/MAY23/RAMESH STEEL - Salary Disbursement,, 280000,,1056500,Salary,Staff Accounts
2023-05-19,NEFT-IN/BANGSTL/INV-RSF-004B/May,,, 195000,1251500,NEFT Credit,Bangalore Steel Industries Limited
2023-05-26,SUPP/RAWMAT/KALYANI-STEEL/May - Raw Material Purchase,, 185000,,1066500,Supplier Payment,Kalyani Steel Traders
2023-05-31,LIC/HDFC/WCTL/EMI-MAY23 - Loan EMI Payment,, 45000,,1021500,Loan Repayment,HDFC Bank Ltd
2023-06-08,RTGS-IN/GLOBALSTL/INV-RSF-002/Jun,,, 350000,1371500,RTGS Credit,Global Steel Corp Private Limited
2023-06-15,SAL/JUN23/RAMESH STEEL - Salary Disbursement,, 280000,,1091500,Salary,Staff Accounts
2023-06-19,NEFT-IN/CHENNAI-MET/INV-RSF-003/Jun,,, 95000,1186500,NEFT Credit,Chennai Metal Works Limited
2023-06-24,GST/CBIC/Q1-2324 - GST Payment Q1 FY24,, 150000,,1036500,Tax Payment,CBIC GST
2023-06-30,LIC/HDFC/WCTL/EMI-JUN23 - Loan EMI Payment,, 45000,,991500,Loan Repayment,HDFC Bank Ltd
2023-06-30,RENT/BHIWANDI-PREMISES/JUN23 - Factory Rent,, 22500,,969000,Rent,Bhiwandi Property Trust
2023-07-08,RTGS-IN/RAJMET/INV-RSF-006/Jul,,, 220000,1189000,RTGS Credit,Rajasthan Metal Suppliers Pvt Ltd
2023-07-15,SAL/JUL23/RAMESH STEEL - Salary Disbursement,, 280000,,909000,Salary,Staff Accounts
2023-07-22,GST/CBIC/SLF-ASMT-Q1 - GST Self Assessment Demand Q1,, 250000,,659000,Tax Payment,CBIC GST
